2023-02-01 10:51:10 SqlSessionFactoryBean.java DEBUG Parsed mapper file: 'file [F:\ideaProjects\cms\target\cms\WEB-INF\classes\bzl\mappering\UserGroup.xml]'
2023-02-01 10:51:10 SqlSessionFactoryBean.java DEBUG Parsed mapper file: 'file [F:\ideaProjects\cms\target\cms\WEB-INF\classes\bzl\mappering\UserLog.xml]'
2023-02-01 10:51:10 SqlSessionFactoryBean.java DEBUG Parsed mapper file: 'file [F:\ideaProjects\cms\target\cms\WEB-INF\classes\bzl\mappering\Val.xml]'
2023-02-01 10:51:11 Log.java INFO （ServiceListener） --- contextInitialized()
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:11 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
2023-02-01 10:51:20 PooledDataSource.java DEBUG PooledDataSource forcefully closed/removed all connections.
